Brand,url,NETWORK_Technology,NETWORK_2G_bands,NETWORK_3G_bands,NETWORK_4G_bands,NETWORK_5G_bands,NETWORK_GPRS,NETWORK_EDGE,NETWORK_Speed,LAUNCH_Announced,BODY_Weight,BODY_Length,BODY_Width,BODY_Weight,BODY_Thickness,FEATURES_Sensors
Acer,https://www.gsmarena.com/acer_iconia_tab_a501-3898.php,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 ,HSDPA 900 / 2100 ,,,,,HSPA 21.1/5.76 Mbps,"2011, February. Released 2011, April",777.0,260.0,177.0,777.0,13.3,"Accelerometer, gyro, proximity, compass"
Acer,https://www.gsmarena.com/acer_iconia_tab_a500-3907.php,No cellular connectivity, N/A,,,,No,No,,"2011, February. Released 2011, April",730.0,260.0,177.0,730.0,13.3,"Accelerometer, gyro, proximity"
Acer,https://www.gsmarena.com/acer_iconia_smart-3662.php,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 ,HSDPA 900 / 1900 / 2100 ,,,,,HSPA 14.4/5.76 Mbps,"2011, February. Released 2011, August",185.0,141.7,64.5,185.0,13.6,"Accelerometer, gyro, proximity"
Acer,https://www.gsmarena.com/acer_iconia_tab_a101-3906.php,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 1900 / 2100 ,,,,,HSPA 21.1/5.76 Mbps,"2011, February. Released 2011, May",470.0,195.0,117.0,470.0,13.1,"Accelerometer, gyro, compass"
Acer,https://www.gsmarena.com/acer_iconia_tab_a100-3841.php,No cellular connectivity, N/A,,,,No,No,,"2011, February. Released 2011, April",450.0,195.0,117.0,450.0,13.1,"Accelerometer, gyro, compass"
Acer,https://www.gsmarena.com/acer_liquid_mini_e310-3711.php,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 ,HSDPA 900 / 2100 ,,,,,HSPA 7.2/0.384 Mbps,"2011, January. Released 2011, April",108.0,110.4,57.5,108.0,13.0,"Accelerometer, proximity, compass"
Acer,https://www.gsmarena.com/acer_betouch_e210-3712.php,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 ,HSDPA 900 / 2100 ,,,,,HSPA 7.2/2 Mbps,"2011, January. Released 2011, Q2",109.0,116.0,63.0,109.0,12.0,"Accelerometer, compass"
Acer,https://www.gsmarena.com/acer_betouch_e140-3666.php,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 ,HSDPA 900 / 2100 ,,,,,HSPA 7.2/2 Mbps,"2010, December. Released 2010, December",95.0,104.5,55.8,95.0,12.8,"Accelerometer, compass"
Acer,https://www.gsmarena.com/acer_betouch_t500-3587.php,GSM,GSM 900 / 1800 / 1900 ,,,,Class 10,Class 10,TD-SCDMA,"2010, October. Released 2010, Q4",130.0,118.5,58.0,130.0,13.5,Accelerometer
Acer,https://www.gsmarena.com/acer_liquid_mt-3519.php,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 1900 / 2100 ,,,,,HSPA 14.4/2 Mbps,"2010, October. Released 2010, November",135.0,115.0,63.0,135.0,13.5,"Accelerometer, proximity, compass"
Acer,https://www.gsmarena.com/acer_betouch_e130-3373.php,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 ,HSDPA 900 / 2100 ,,,,,HSPA 3.6/0.384 Mbps,"2010, June. Released 2010, August",109.0,115.0,62.5,109.0,11.5,"Accelerometer, compass"
Acer,https://www.gsmarena.com/acer_betouch_e120-3406.php,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 ,HSDPA 900 / 2100 ,,,,,HSPA 3.6/0.384 Mbps,"2010, June. Released 2010, Q3",105.0,104.5,54.0,105.0,13.2,"Accelerometer, compass"
Acer,https://www.gsmarena.com/acer_stream-3358.php,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 1900 / 2100 ,,,,,HSPA 7.2/2 Mbps,"2010, May. Released 2010, August",140.0,119.5,63.0,140.0,11.2,"Accelerometer, proximity, compass"
Acer,https://www.gsmarena.com/acer_liquid_e-3156.php,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 ,HSDPA 900 / 1900 / 2100 ,,,,,HSPA 7.2/2 Mbps,"2010, February. Released 2010, August",135.0,115.0,62.5,135.0,12.5,"Accelerometer, proximity"
Acer,https://www.gsmarena.com/acer_neotouch_p400-3155.php,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 ,HSDPA 900 / 2100 ,,,,,HSPA,"2010, February. Released 2010, May",125.0,115.0,59.3,125.0,12.0,"Accelerometer, compass"
Acer,https://www.gsmarena.com/acer_betouch_e400-3154.php,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 ,HSDPA 900 / 2100 ,,,,,HSPA 3.6/0.384 Mbps,"2010, February. Released 2010, April",125.0,115.0,59.3,125.0,12.0,"Accelerometer, compass"
Acer,https://www.gsmarena.com/acer_neotouch_p300-3138.php,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 ,HSDPA 2100 ,,,,,HSPA 7.2/2 Mbps,"2010, February. Released 2010, Q2",130.0,110.0,55.0,130.0,15.1,Accelerometer
Acer,https://www.gsmarena.com/acer_betouch_e110-3137.php,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 ,HSDPA 900 / 2100 ,,,,,HSPA 3.6/0.384 Mbps,"2010, February. Released 2010, March",105.0,103.5,54.0,105.0,13.4,
Acer,https://www.gsmarena.com/acer_liquid-2968.php,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 ,HSDPA 900 / 1900 / 2100 ,,,,,HSPA 7.2/2 Mbps,"2009, October. Released 2009, December",135.0,115.0,62.5,135.0,12.5,"Accelerometer, proximity"
Acer,https://www.gsmarena.com/acer_neotouch-2958.php,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 ,HSDPA 900 / 1900 / 2100 ,,,,,HSPA 7.2/5.76 Mbps,"2009, October. Released 2009, October",130.0,118.6,63.0,130.0,12.0,"Accelerometer, proximity"
Acer,https://www.gsmarena.com/acer_betouch_e200-2961.php,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 ,HSDPA 900 / 2100 ,,,,,HSPA 3.6/0.384 Mbps,"2009, October. Released 2009, October",146.0,110.0,53.5,146.0,15.4,
Acer,https://www.gsmarena.com/acer_betouch_e100-2959.php,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 1900 / 2100 ,,,,,HSPA 7.2/5.76 Mbps,"2009, October. Released 2009, October",118.0,113.0,56.0,118.0,12.8,
Acer,https://www.gsmarena.com/acer_betouch_e101-2960.php,GSM,GSM 850 / 900 / 1800 / 1900 ,,,,Class 10,Class 10,,"2009, October. Released 2009, October",118.0,113.0,56.0,118.0,12.8,
Acer,https://www.gsmarena.com/acer_dx650-2888.php,GSM,GSM 900 / 1800 / 1900 ,,,,Class 10,Class 10,,"2009, June. Released 2009, June",133.0,109.6,59.0,133.0,15.6,Accelerometer
Acer,https://www.gsmarena.com/acer_m900-2719.php,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 1900 / 2100 ,,,,,HSPA 7.2/2 Mbps,"2009, February. Released 2009, June",188.0,119.0,62.0,188.0,17.1,Fingerprint (front-mounted)
